"";"X";"CODUSU";"ANO4";"TRIMESTRE";"AGLOMERADO1";"PONDERA";"ITF";"IPCF";"AGLOMERADO";"Cantidad";"cant"
"44";44;382325;2013;4;32;1652;12000;1090,909058;"CABA";11,0000003318333;11,0000003318333
"45";45;382347;2013;4;32;1334;35000;8750;"CABA";4;4
"46";46;383263;2013;4;32;987;6000;6000;"CABA";1;1
"47";47;383361;2013;4;32;628;10000;5000;"CABA";2;2
"48";48;383367;2013;4;32;1684;8000;4000;"CABA";2;2
"49";49;383498;2013;4;32;3467;8400;8400;"CABA";1;1
"50";50;383611;2013;4;32;1907;16600;5533,333496;"CABA";2,99999991180723;2,99999991180723
"51";51;383755;2013;4;32;1798;7900;7900;"CABA";1;1
"52";52;383868;2013;4;32;1339;14000;4666,666504;"CABA";3,00000010457143;3,00000010457143
"53";53;383906;2013;4;32;986;9800;890,9091187;"CABA";10,9999996568674;10,9999996568674
"54";54;384404;2013;4;32;1784;8000;8000;"CABA";1;1
"55";55;384722;2013;4;32;904;5000;2500;"CABA";2;2
"56";56;384844;2013;4;32;1237;5000;1666,666626;"CABA";3,0000000732;3,0000000732
"57";57;385030;2013;4;32;1497;4000;1333,333374;"CABA";2,9999999085;2,9999999085
"58";58;385076;2013;4;32;1440;11000;3666,666748;"CABA";2,99999993345455;2,99999993345455
"59";59;385666;2013;4;32;1146;2500;2500;"CABA";1;1
"60";60;385785;2013;4;32;2341;12000;2400;"CABA";5;5
"61";61;385793;2013;4;32;928;14500;2900;"CABA";5;5
"62";62;385840;2013;4;32;2100;3000;3000;"CABA";1;1
"63";63;385939;2013;4;32;2025;8600;4300;"CABA";2;2
"64";64;386257;2013;4;32;740;16500;3300;"CABA";5;5
"65";65;386288;2013;4;32;72;7600;2533,333252;"CABA";3,00000009631579;3,00000009631579
"66";66;386385;2013;4;32;2485;12000;6000;"CABA";2;2
"67";67;387039;2013;4;32;1019;5500;5500;"CABA";1;1
"68";68;387145;2013;4;32;70;10300;5150;"CABA";2;2
"69";69;387165;2013;4;32;1878;12700;2540;"CABA";5;5
"70";70;388320;2013;4;32;1076;5000;1250;"CABA";4;4
"71";71;389570;2013;4;32;1657;20700;10350;"CABA";2;2
"72";72;389728;2013;4;32;1838;3000;3000;"CABA";1;1
"73";73;390051;2013;4;32;1940;11800;5900;"CABA";2;2
"74";74;390302;2013;4;32;1925;8000;1333,333374;"CABA";5,99999981700001;5,99999981700001
"75";75;390414;2013;4;32;2235;47000;11750;"CABA";4;4
"76";76;390439;2013;4;32;1389;8500;2125;"CABA";4;4
"77";77;390709;2013;4;32;1549;25000;12500;"CABA";2;2
"78";78;390772;2013;4;32;60;7200;3600;"CABA";2;2
"79";79;390792;2013;4;32;1456;1600;1600;"CABA";1;1
"80";80;391114;2013;4;32;1093;9900;2475;"CABA";4;4
"81";81;391562;2013;4;32;2152;8000;1600;"CABA";5;5
"82";82;392152;2013;4;32;1510;12000;6000;"CABA";2;2
"83";83;392156;2013;4;32;1531;9000;9000;"CABA";1;1
"84";84;392213;2013;4;32;71;4000;4000;"CABA";1;1
"85";85;392300;2013;4;32;1310;7500;3750;"CABA";2;2
"86";86;392301;2013;4;32;1500;11000;3666,666748;"CABA";2,99999993345455;2,99999993345455
"87";87;392396;2013;4;32;1942;29500;5900;"CABA";5;5
"88";88;393106;2013;4;32;917;6000;6000;"CABA";1;1
"89";89;355616;2013;4;33;2289;4200;4200;"GBA";1;1
"90";90;355763;2013;4;33;2153;10000;1666,666626;"GBA";6,0000001464;6,0000001464
"91";91;355964;2013;4;33;2080;4500;2250;"GBA";2;2
"92";92;356448;2013;4;33;2310;6000;1200;"GBA";5;5
